number,address,phone,build_year
1-nji ýöriteleşdirilen okuw-terbiýeçilik toplumy,Arkadag şäheriniň Kerim Gurbannepesow köçesiniň 26-njy jaýynda ýerleşýän orta mekdebi we Arkadag şaýolunyň 14-nji jaýynda ýerleşýän çagalar bagy,,2023ý
2-nji iňlis dili dersine ýöriteleşdirilen mekdep,Arkadag şäheriniň Kerim Gurbannepesow köçesiniň 12-nji jaýy,,2023ý
3-nji iňlis dili dersine ýöriteleşdirilen mekdep,Arkadag şäheriniň Berdinazar Hudaýnazarow köçesiniň 4-nji jaýy,,2023ý
4-nji iňlis dili dersine ýöriteleşdirilen mekdep,Arkadag şäheriniň Kerim Gurbannepesow köçesiniň 5-nji jaýy,,2023ý
10,Arkadag şäheriniň Kärizek etrabynyň Aba Annaýew şäherçesiniň Bajam Kowusow köçesiniň 33-nji jaýy,,2016ý
