number,address,phone,build_year
48,Parahat 2/2 ýaşaýyş toplumy,müdir: 46-55-80 kätip-nobatçy: 46-20-50,1993ý
49,S.Jepbarow köçesiniň 13-nji jaýy,müdir: 48-06-19 kätip: 48-17-50 nobatçy: 48-18-26,2010ý
50,Aşgabat şäheriniň N.Halmämmedow köçesiniň 1-nji geçelgesi,kätip: 43-05-77 okuw müdir-nobatçy:430685,1987ý
51,Aşgabat şäheriniň Parahat 1ÝT,müdir: 45-70-14 kätip: 46-05-03 nobatçy: 46-05-03,1988ý
52,Parahat 2/1 ýaşaýyş jaý toplumy,okuw müdir: 45-81-75 kätip nobatçy: 45-22-18,1989ý
53,Aşgabat şäheriniň Uşakowa köçesiniň 1-nji jaýy,müdir-nobatçy: 27-51-06 kätip: 27-51-05,1990ý
54,Aşgabat şäheriniň Bagtyýarlyk etrabynyň Çoganly ýaşaýyş toplumynyň A.Nyýazow şaýolynyň 433-nji jaýy,müdir: 73-97-43 kätip: 73-95-43 nobatçy: 73-97-45,2008ý
55,Aşgabat şäheriniň Parahat 2/4,kätip-nobatçy: 46-18-09 45-68-10,1990ý
56,Howdan “W” ýaşaýyş jaý toplumy,Müdir:n96-26-19 Orun basar: 96-02-94 Kätip: 96-15-82,1982ý
57,Aşgabat şäheriniň Parahat 3/2 ýaşaýyş toplumy 13-nji jaýy,Mudir kätip: 45-90-80 nobatçy: 45-90-53,1992ý
58,Aşgabat şäheriniň Büzmeýin etrabynyň Bekrewe ýaşaýyş toplumynyň 13-nji jaýy,Kätip nobatçy: 37-43-89,1993ý
59,Çoganly şäherçesiniňZynhary köçesiniň 25-nji jaýy,Müdir: 73-55-16 kätip nobatçy: 73-56-22,1995ý
60,Parahat 4/1 ýaşaýyş toplumy,Müdir nobatçy: 47-38-37 kätip okuw müdir: 47-37-88,1997ý
61,Aşgabat şäheriniň Köşi (Taslama) köçesiniň 65-nji jaýy,müdir: 97-62-63 kätip: 97-61-26,2013ý
62,Aşgabat şäheriniň Köşi ýaşaýyş toplumynyň 7-nji Köşi geçelgesiniň 11-nji jaýy,Kätip: 90-61-87 90-81-82,1956ý
63,Aşgabat şäheriniň Köşi ýaşaýyş toplumynyň 14-nji Köşi geçelgesiniň 51-nji jaýy,müdir: 90-82-84 kätip: 90-67-37,1970ý
64,Azady köçesiniň 120-nji jaýy,müdir: 36-90-79kätip-nobatçy: 36-81-49 36-91-90,1954ý
65,Aşgabat şäheriniň A.Nyýazow şaýolunyň 6-njy jaýy,Mudir: 36-85-74 kätip-nobatçy: 36-87-44,1953ý
66,Çoganly ýaşaýyş toplumynyň Magrupy köçesiniň 146-njy jaýy,müdir: 73-99-68 kätip: 73-99-67,2010ý
67,M.Rejepow köçesiniň 18-nji jaýy,müdir: 74-00-04 kätip-nobatçy: 74-08-65,1962ý
68,Bitarap Türkmenistan şaýolunyň 69-njy jaýy,981686 müdir 981683 katip 981688 zawuç 981684 nobatçy 981685,2006ý
69,Aşgabat şäheriniň Oguzhan köçesiniň 13/1-nji jaýy,terbiýeçi: 49-48-23kätip-nobatçy: 49-48-03,1985ý
